"type","name","address","ttl","comment","disabled","zone"
"aaaa","visana.ch","2a04:4e42::644","3600","","False","visana.ch"
"aaaa","visana.ch","2a04:4e42:200::644","3600","","False","visana.ch"
"aaaa","visana.ch","2a04:4e42:400::644","3600","","False","visana.ch"
"aaaa","visana.ch","2a04:4e42:600::644","3600","","False","visana.ch"
"aaaa","collect.visana.ch","2001:4860:4802:32::15","3600","","False","visana.ch"
"aaaa","collect.visana.ch","2001:4860:4802:34::15","3600","","False","visana.ch"
"aaaa","collect.visana.ch","2001:4860:4802:36::15","3600","","False","visana.ch"
"aaaa","collect.visana.ch","2001:4860:4802:38::15","3600","","False","visana.ch"
