type,name,text,ttl,comment,disabled,zone
txt,akp.ch,"""MS=ms27315809""",14400,,False,akp.ch
txt,akp.ch,"""v=spf1 mx -all""",14400,,False,akp.ch
txt,_dmarc.akp.ch,"""""v=DMARC1""",14400,,False,akp.ch
txt,albinkistler.ch,"""MS=ms26130540""",14400,,False,albinkistler.ch
txt,albinkistler.ch,"""MS=ms87929682""",14400,,False,albinkistler.ch
txt,albinkistler.ch,"""MS=DFB25F02412A2E63CAEA8FCC1B68AE256CF0BB25""",14400,,False,albinkistler.ch
txt,albinkistler.ch,"""atlassian-domain-verification=VJ2RnTswadzaECcS5b2Gm/X27aaHha/ledOpSThPsbhv3fZG1LpSuLBu9x1CdU6Z""",14400,,False,albinkistler.ch
txt,albinkistler.ch,"""v=spf1 include:_spf.taywa.ch include:spf.mailjet.com include:spf.protection.outlook.com -all""",14400,,False,albinkistler.ch
txt,albinkistler.ch,"""atlassian-sending-domain-verification=bc88db2b-7df6-4b20-a565-8b24deda2426""",14400,,False,albinkistler.ch
txt,mailjet._66f07e9c.albinkistler.ch,"""66f07e9cfe4f517ff74220eeb880963c""",14400,,False,albinkistler.ch
txt,_dmarc.albinkistler.ch,"""""v=DMARC1""",14400,,False,albinkistler.ch
txt,mailjet._domainkey.albinkistler.ch,"""""k=rsa""",14400,,False,albinkistler.ch
txt,_ee4c4deb37645a685e1b2c74bc3cc4e7.albinkistler.ch,"""jira-albinkistler-ch-0c82644f-c433-45cb-a374-448c02091773.ssl.atlassian.com""",14400,,False,albinkistler.ch
txt,confluence.albinkistler.ch,"""confluence-albinkistler-c-96edf883-48b4-4a19-b926-c7d5fb61cc70.saas.atlassian.com""",14400,,False,albinkistler.ch
txt,_829f8345d80dbaee94f4147476f02cba.confluence.albinkistler.ch,"""confluence-albinkistler-c-96edf883-48b4-4a19-b926-c7d5fb61cc70.ssl.atlassian.com""",14400,,False,albinkistler.ch
txt,prod.confluence.albinkistler.ch,"""prod-confluence-albinkist-c9297888-4b12-4b69-a149-51ae1ce810f6.saas.atlassian.com""",14400,,False,albinkistler.ch
txt,_ccf38c233417bc217357f3bc41b5bb61.prod.confluence.albinkistler.ch,"""prod-confluence-albinkist-c9297888-4b12-4b69-a149-51ae1ce810f6.ssl.atlassian.com""",14400,,False,albinkistler.ch
txt,jira.albinkistler.ch,"""jira-albinkistler-ch-0c82644f-c433-45cb-a374-448c02091773.saas.atlassian.com""",14400,,False,albinkistler.ch
txt,_ee4c4deb37645a685e1b2c74bc3cc4e7.jira.albinkistler.ch,"""jira-albinkistler-ch-0c82644f-c433-45cb-a374-448c02091773.ssl.atlassian.com""",14400,,False,albinkistler.ch
txt,prod.jira.albinkistler.ch,"""prod-jira-albinkistler-ch-7e3f8916-3b06-40b3-9091-17bae67c2880.saas.atlassian.com""",14400,,False,albinkistler.ch
txt,_74115307093723cf1de09aeb3cbd37c6.prod.jira.albinkistler.ch,"""prod-jira-albinkistler-ch-7e3f8916-3b06-40b3-9091-17bae67c2880.ssl.atlassian.com""",14400,,False,albinkistler.ch
txt,vpn2corp.albinkistler.ch,"""swisssign-check=o4PBvITg-wdHZL2tORnPThi9oYk""",14400,,False,albinkistler.ch
txt,autonom-daheim.ch,"""swisssign-check=JGxOdX5HIRmNcKYeyGwG7RJyyt0""",14400,,False,autonom-daheim.ch
txt,autonom-daheim.ch,"""v=spf1 -all""",14400,,False,autonom-daheim.ch
txt,autonom-daheim.ch,"""swisssign-check=m3_mf8UAdbF86IWDQTlfaFZA8Ks""",14400,,False,autonom-daheim.ch
txt,_dmarc.autonom-daheim.ch,"""""v=DMARC1""",14400,,False,autonom-daheim.ch
txt,www.autonom-daheim.ch,"""swisssign-check=iGU6MRtxxEMnSOHcxe3pChIaILWlLxCVs2RMjrmCBN""",14400,,False,autonom-daheim.ch
txt,autonome-chez-soi.ch,"""swisssign-check=6jyc6QF6E_WAjf1uak4XUhPv068""",14400,,False,autonome-chez-soi.ch
txt,autonome-chez-soi.ch,"""v=spf1 -all""",14400,,False,autonome-chez-soi.ch
txt,autonome-chez-soi.ch,"""swisssign-check=Zjsxs72XHhHLVbIRRj6OZaavZDc""",14400,,False,autonome-chez-soi.ch
txt,_dmarc.autonome-chez-soi.ch,"""""v=DMARC1""",14400,,False,autonome-chez-soi.ch
txt,www.autonome-chez-soi.ch,"""swisssign-check=Pt1qIY3bQA9pgboBeXZttArrienATbtBtHXf3WNaRQ""",14400,,False,autonome-chez-soi.ch
txt,autonomi-a-casa.ch,"""v=spf1 -all""",14400,,False,autonomi-a-casa.ch
txt,autonomi-a-casa.ch,"""swisssign-check=VH-NSNpFKf2AsTuXwDJGczNXzrQ""",14400,,False,autonomi-a-casa.ch
txt,autonomi-a-casa.ch,"""swisssign-check=SsG2RNeCnDCug-lfp_dKlNCizSQ""",14400,,False,autonomi-a-casa.ch
txt,_dmarc.autonomi-a-casa.ch,"""""v=DMARC1""",14400,,False,autonomi-a-casa.ch
txt,www.autonomi-a-casa.ch,"""swisssign-check=mlemRz1qQ830Sly3HZyTCmcXquzImITdtgse0nTlZp""",14400,,False,autonomi-a-casa.ch
txt,bellerivebanking.ch,"""v=spf1 mx ip4:185.178.62.9 ip4:185.178.62.10 ~all""",900,,False,bellerivebanking.ch
txt,bellerivebanking.ch,"""MS=ms67846318""",900,,False,bellerivebanking.ch
txt,berner-krankenversicherer.ch,"""v=spf1 -all""",14400,,False,berner-krankenversicherer.ch
txt,berner-krankenversicherer.ch,"""swisssign-check=oYRGSivLLIefpThj3c6gfbQ92EE""",14400,,False,berner-krankenversicherer.ch
txt,_dmarc.berner-krankenversicherer.ch,"""""v=DMARC1""",14400,,False,berner-krankenversicherer.ch
txt,visanach20._domainkey.berner-krankenversicherer.ch,"""""v=DKIM1""",14400,,False,berner-krankenversicherer.ch
txt,bernerkrankenversicherer.ch,"""v=spf1 -all""",14400,,False,bernerkrankenversicherer.ch
txt,bernerkrankenversicherer.ch,"""swisssign-check=t1DI6X3mymqBUTDww-uIidsdhRA""",14400,,False,bernerkrankenversicherer.ch
txt,_dmarc.bernerkrankenversicherer.ch,"""""v=DMARC1""",14400,,False,bernerkrankenversicherer.ch
txt,cliintra.ch,"""swisssign-check=QWGqZ0HXRcH4vBmxk55KdpxNkGA""",14400,,False,cliintra.ch
txt,directa.ch,"""swisssign-check=Rz4BZUEYEsLTZxWW6N4WBS6m1OE""",86400,,False,directa.ch
txt,directa.ch,"""v=spf1 -all""",86400,,False,directa.ch
txt,directa.ch,"""swisssign-check=kMs77N4XuxU83d-vAuXgZWWPHJY""",86400,,False,directa.ch
txt,_dmarc.directa.ch,"""""v=DMARC1""",86400,,False,directa.ch
